"id","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"W1",35977.725,36407.75,36643.8875,36312.7,36120.8875,35762.2375,35592.5375,35381.225,35360.7875,35848.6125,35850.8,34741.5375,34953.15
"W2",3618.7225,3632.23375,3618.77875,3579.35625,3601.54375,3575.2725,3533.31125,3515.01625,3546.53125,3639.85875,3558.16125,3486.825,3475.34125
"W3",9781.5825,9882.37125,9796.985,9629,9690.0925,9973.47375,9915.1975,9780.3025,9713.66,9900.18,9975.79875,9761.05375,9659.55
"W4",2157.22625,2259.18125,2337.22875,2633.66125,2458.5275,2731.64875,2613.0325,3376.30125,2865.465,3063.96625,3394.32375,3972.04375,4383.9675
"W5",1601.61625,1632.46125,1624.55125,1730.14,1714.57875,1894.89625,1759.05375,2164.78375,2175.755,1886.76,2158.1675,1566.1875,1316.28
"W6",525.277375,578.36975,544.12575,634.173125,651.844125,784.7895,729.297875,843.51575,1308.32875,1109.995,978.814625,829.21675,699.143625
"W7",3490.00875,2995.2775,2699.925,2351.74875,4565.8525,3169.51125,3035.3125,2233.325,6988.41125,7291.1075,3735.0475,2815.14125,2963.31375
"W8",3939.37375,4391.935,5505.45125,4365.85125,6664.98,5307.1025,5332.385,4117.20375,4963.86625,6957.415,4533.53625,3417.32875,3216.63
"W9",8232.6775,7898.44375,9054.95875,8428.32875,9568.065,7876.95125,8181.87625,9873.6625,9834.94,9807.57875,7831.65625,7193.79125,7127.54625
"W10",5014.92125,4978.0325,4922.39375,5426.20875,5317.71375,5324.35875,5300.77,5246.21125,5262.3,5057.4975,4987.915,4898.80375,4758.56875
"W11",374.518375,348.48325,356.176,353.141375,401.074875,463.977375,356.51675,368.662875,391.93575,431.336375,386.158,357.44575,395.789625
"W12",1045.46625,1065.205,1078.82,1072.7625,1061.85625,1063.5675,1056.455,1051.75,1045.19125,1036.66875,1046.65125,1055.06375,1050.76875
"W13",2345.59625,2359.4275,2370.68875,2383.84,2381.55875,2443.725,2493.21875,2506.54125,2506.19125,2398.8675,2509.205,2594.78625,2589.755
"W14",2304.995,2339.23625,2340.7325,2340.36,2369.11875,2444.07125,2447.3975,2465.9775,2494.09875,2475.04875,2537.38375,2683.17125,2422.7225
"W15",4444.3825,4713.37125,4819.645,4529.50625,4207.21625,4581.2575,4289.1525,4165.9525,4056.8475,3696.8575,5203.6475,7018.88875,4416.54125
"W16",4305.6775,4624.58,4761.8425,4426.63125,4176.76875,4526.53375,4227.96875,4139.6825,4312.78125,4252.45625,5211.9875,7029.69625,4401.18
