"id","V2","V3","V4","V5","V6","V7","V8","V9"
"Q1",6947.955,6813.5125,6914.3575,6916.56,7042.3925,6919.6,7028.7975,7001.0925
"Q2",7139.3525,7093.085,7192.4175,7218.36,7260.98,7235.325,7358.4425,7359.89
"Q3",7222.155,7171.71,7222.0475,7189.595,7264.17,7213.46,7271.33,7226.225
"Q4",7747.8125,7784.1325,7813.3475,7803.1025,7826.8925,7867.6975,7899.665,7868.6725
"Q5",957.67875,841.46775,1144.325,1399.1125,987.0655,863.93025,1163.3875,1411.8475
"Q6",9825.215,9715.79,9824.455,9861.1325,9875.665,9772.3375,9874.6375,9915.41
"Q7",3369.9075,3352.615,3346.6575,3362.8425,3375.6775,3355.0825,3348.8675,3367.4625
"Q8",2601.2275,2556.1475,2603.3025,2630.615,2613.0525,2568.435,2609.705,2639.92
"Q9",2493.5625,2469.695,2481.02,2494.37,2486.4025,2465.3575,2478.585,2496.5875
"Q10",2560.165,2537.43,2560.7,2554.73,2555.8675,2535.625,2560.1225,2554.39
"Q11",1169.6575,1161.485,1157.69,1157.3325,1171.8,1164.2875,1161.0675,1160.6325
"Q12",3145.9775,2940.9575,3214.7625,3397.11,3176.6475,2952.5725,3223.6875,3396.0975
"Q13",1763.05,1760.6975,1780.7675,1782.235,1806.5425,1802.545,1820.23,1819.0525
"Q14",12337.2,12216.125,12257.275,12547.75,12685.675,12627.575,12662.025,12931.975
"Q15",1190.11,1158.33,1260.86,1295.05,1221.3275,1184.5175,1282.9725,1309.7775
"Q16",2031.0875,2036.5875,2124.4425,2121.1325,2104.75,2103.2575,2204.42,2193.6075
"Q17",2455.545,2477.405,2428.6575,2487.6675,2489.1625,2509.385,2461.9375,2518.5225
"Q18",4649.02,4426.2925,4885.6875,4740.81,4690.465,4445.1,4906.52,4744.3525
"Q19",5738.645,5700.8175,5798.1,5803.7225,5759.9175,5727.405,5819.72,5836.49
"Q20",6298.5125,6294.09,6298.51,6361.44,6343.1725,6329.7875,6327.125,6400.23
"Q21",9751.1525,9702.8375,9794.9225,9877.935,9778.79,9733.0075,9820.3175,9923.69
"Q22",5077.1975,5084.47,5174.37,5245.8775,5134.93,5149.2375,5242.4075,5317.8125
"Q23",5954.02,5836.3475,5988.1225,6048.58,5938.7625,5826.905,5979.46,6043.2275
"Q24",2307.4525,2294.79,2333.255,2326.9425,2310.08,2290.405,2326.63,2317.2075
"Q25",1361.745,1351.83,1382.155,1373.8575,1356.585,1348.695,1377.855,1367.0075
"Q26",7479.145,6783.5175,7597.705,9022.5175,7428.2425,6828.7275,7643.7925,9154.85
"Q27",9160.6375,9048.96,9235.9475,9269.2275,9213.355,9060.1575,9234.135,9247.495
"Q28",5163.225,5165.645,5067.11,4984.005,5190.17,5211.34,5123.1775,5047.1575
"Q29",1958.8075,1923.3275,1902.9075,1889.795,1968.85,1933.2525,1915.1125,1901.6325
"Q30",3129.8825,3138.1775,3083.0975,3092.7625,3147.1775,3157.01,3101.775,3112.6825
"Q31",2508.505,2555.0325,2515.2475,2508.5575,2517.8425,2564.865,2531.88,2523.74
"Q32",4852.8075,4743.5575,4747.87,4751.3775,4923.005,4815.1925,4820.7875,4820.1
"Q33",8282.7,8361.7775,8330.765,8340.255,8388.1475,8459.45,8428.525,8428.91
"Q34",7181.615,7314.2475,7261.845,7290.7425,7277.745,7403.3725,7359.8875,7365.35
"Q35",10139.925,10310.35,10261.325,10157.15,10241.975,10425.6,10363.375,10247.725
"Q36",9219.0825,9155.575,9180.8025,9218.7325,9324.005,9274.3125,9322.55,9377.5575
"Q37",4529.195,4507.7575,4532.595,4507.3775,4549.0175,4550.4875,4583.7275,4580.6
"Q38",6375.9975,6354.65,6480.0325,6479.205,6449.5275,6451.99,6579.475,6588.4175
"Q39",5577.13,5751.035,6216.045,6034.2425,5655.61,5866.0125,6399.3625,6167.38
"Q40",5277.385,5323.17,5297.3675,5293.2975,5335.99,5388.355,5370.225,5368.26
"Q41",1919.0475,1919.845,1924.165,1926.255,1945.6,1944.435,1948.495,1951.535
"Q42",2133.9675,2132.2575,2129.605,2131.44,2165.5025,2161.6025,2161.6725,2163.815
"Q43",5490.6575,5572.845,5508.8475,5530.0175,5551.8575,5647.295,5594.9725,5623.44
"Q44",1288.36,1300.1825,1289.135,1288.865,1309.4375,1319.0725,1306.0775,1306.135
"Q45",1932.9975,1937.4525,1941.8425,1943.8,1964.04,1967.165,1971.295,1973.93
"Q46",3381.815,3405.765,3439.9425,3428.945,3429.56,3456.45,3485.215,3474.875
"Q47",9610.29,9741.7425,9710.51,9813.79,9749.83,9873.7875,9825.845,9922.5425
"Q48",1415.7375,1390.52,1424.955,1447.1225,1444.475,1422.3275,1458.4175,1473.5525
"Q49",8916.785,9121.76,9026.8775,8996.5075,9020.315,9237.67,9160.6225,9113.73
"Q50",9239.1475,9554.0775,9359.0875,9397.0225,9361.2925,9673.36,9512.4775,9516.3175
"Q51",1485.515,1513.73,1506.3775,1456.2225,1514.73,1543.95,1537.305,1476.885
"Q52",5800.9475,5840.0225,5863.51,5864.5925,5861.68,5895.9075,5929.245,5928.4475
"Q53",2669.12,2668.9225,2724.04,2662.495,2721.695,2716.1275,2763.0175,2701.12
"Q54",1657.665,1653.17,1665.6125,1675.0575,1678.1775,1672.3325,1684.05,1692.75
"Q55",6891.5775,6980.98,6947.1925,6980.6975,6983.5125,7064.185,7034.48,7076.6725
"Q56",3017.5825,3012.5075,3089.1675,3010.39,3086.8175,3067.4275,3139.17,3057.2875
"Q57",1482.1775,1492.22,1488.3125,1484.905,1502.1675,1512.655,1508.8025,1505.415
"Q58",7357.325,7391.1525,7405.455,7399.34,7472.7075,7488.575,7482.285,7466.7625
"Q59",9555.455,9636.8125,9713.98,9583.44,9716.8125,9777.0825,9813.8425,9692.51
"Q60",1399.6175,1414.4825,1434.61,1430.4125,1428.665,1439.53,1455.5175,1450.4875
"Q61",2830.4,2814.1075,2860.1575,2875.915,2869.1275,2852.975,2900.8075,2918.05
"Q62",2114.1825,2133.7625,2190.675,2242.355,2238.3425,2247.3075,2274.2225,2304.5475
"Q63",2949.32,2977.1025,3046.3725,3156.7625,3142.675,3168.1325,3219.34,3287.98
"Q64",3219.475,3172.415,3236.2075,3260.51,3278.2175,3222.6625,3286.425,3317.4175
"Q65",4591.6875,4612.8925,4755.765,4863.915,4863.1825,4895.76,5033.295,5120.135
"Q66",6364.45,6446.195,6541.4425,6659.5825,6556.5525,6673.7775,6817,6933.475
"Q67",10920.75,11131.925,11324.6,11541.7,11506.925,11631.35,11752.425,11901.275
"Q68",3236.265,3268.3375,3319.7625,3328.615,3364.2825,3399.7,3441.6525,3433.485
"Q69",1100.23,1111.8275,1111.88,1098.6425,1097.37,1113.255,1117.05,1112.9575
"Q70",10684.125,10719.85,10759.65,10771.3,10765.775,10793.25,10828.525,10841.7
