Q1,6746.2552,6740.18,6724.0103,6713.3939,6698.8922,6687.2294,6674.1195,6662.2157
Q2,6984.3001,6972.475,6959.4194,6947.5943,6933.4651,6921.64,6908.5844,6896.7593
Q3,7144.2505,7125.8811,7101.1145,7082.7451,7061.1106,7042.7412,7020.0713,7001.7019
Q4,7607.3681,7618.753,7617.7772,7601.5562,7585.7638,7571.7454,7561.0215,7547.0032
Q5,961.9795,833.5719,1134.8674,1348.8595,930.9146,808.8763,1101.6724,1309.8189
Q6,9756.8234,9666.4811,9739.962,9763.9433,9791.9448,9677.8766,9750.7341,9761.7107
Q7,3337.2738,3328.8281,3321.4511,3330.7439,3338.3007,3327.9018,3326.1562,3327.3469
Q8,2574.1671,2535.893,2566.7303,2593.1084,2574.3298,2537.5029,2565.2193,2587.8726
Q9,2474.8152,2461.4898,2469.5235,2474.8684,2472.9517,2456.9375,2465.6447,2463.3713
Q10,2551.3155,2542.6622,2552.3117,2553.3104,2558.2594,2548.5321,2556.3743,2556.6959
Q11,1164.8412,1165.118,1157.0692,1156.7942,1168.8359,1167.7183,1160.7942,1159.9382
Q12,3161.6655,2948.4866,3234.3112,3391.2307,3155.7075,2940.4923,3222.1409,3375.2955
Q13,1771.5892,1781.0034,1790.095,1799.5093,1815.0325,1824.425,1833.4885,1842.8816
Q14,12198.9993,12144.2978,12179.4783,12464.3472,12523.7364,12567.1895,12544.6985,12776.121
Q15,1272.696,1246.3503,1296.7322,1302.6363,1265.1625,1243.4185,1280.9569,1294.849
Q16,2040.7151,2073.8177,2110.2933,2101.396,2105.7991,2138.8401,2171.2309,2169.6741
Q17,2423.5547,2433.1893,2417.2129,2452.8987,2456.435,2459.3997,2459.2013,2475.7638
Q18,4661.546,4493.3793,5010.4316,4735.8215,4627.0704,4463.8738,4981.1675,4708.161
Q19,5554.1341,5497.2184,5540.6398,5562.7488,5505.3622,5454.9272,5483.8149,5488.0124
Q20,6203.0337,6198.8586,6196.1595,6202.6135,6167.0584,6162.875,6163.3545,6169.8166
Q21,9561.7668,9546.3914,9579.527,9638.5257,9587.7677,9557.1961,9599.4284,9622.0471
Q22,5112.0671,5131.2076,5181.7134,5204.4211,5195.2507,5212.8499,5258.6564,5281.1057
Q23,5943.9328,5851.1275,6006.3235,6104.7789,5993.3576,5895.1716,6043.9635,6138.662
Q24,2316.6026,2296.5014,2337.9184,2335.8659,2309.9172,2290.2755,2331.0203,2329.2152
Q25,1361.8744,1357.7715,1366.3217,1369.5754,1356.3121,1351.0534,1359.8572,1361.7922
Q26,7119.4072,6407.4593,7499.6916,8673.6853,7113.4306,6402.4655,7493.7072,8666.6444
Q27,9128.4833,9130.7975,9214.2203,9237.0373,9156.3775,9083.4781,9190.9435,9247.4509
Q28,5059.441,5065.2316,4977.325,4887.5796,5095.6168,5119.8678,5030.9259,4948.0049
Q29,1926.1379,1899.2254,1852.9729,1846.7863,1910.8332,1895.6256,1848.2955,1842.1165
Q30,3113.9722,3133.2891,3070.2793,3074.8808,3119.9673,3138.8073,3068.2416,3078.1389
Q31,2489.2515,2515.209,2487.9747,2484.7932,2495.6622,2516.3213,2497.0008,2487.3192
Q32,4731.7104,4689.7263,4688.5395,4709.3376,4786.3101,4762.5828,4742.5568,4761.1016
Q33,8264.5571,8323.665,8312.0516,8344.9484,8380.0452,8428.4294,8429.1588,8462.0678
Q34,7174.9063,7270.4679,7238.0265,7268.1686,7286.4924,7339.5846,7327.6767,7360.3802
Q35,10109.8082,10207.2678,10224.2052,10186.1452,10242.4976,10324.0893,10348.9486,10316.5617
Q36,9143.8732,9145.0781,9138.4649,9181.6013,9265.2034,9305.8556,9325.8562,9331.5818
Q37,4440.9397,4437.1497,4468.5248,4438.8687,4487.6275,4483.6666,4535.0761,4505.0227
Q38,6406.8683,6393.2565,6503.9456,6442.2543,6505.2401,6521.1747,6609.1762,6547.7109
Q39,5679.8514,5745.4918,6089.8511,5946.845,5826.5385,5867.0613,6172.2544,6050.7685
Q40,5246.4071,5292.728,5266.8869,5255.0123,5321.9879,5369.8242,5348.0462,5330.1957
Q41,1913.5547,1925.5514,1926.7135,1933.2915,1946.7006,1958.7387,1961.4161,1967.9678
Q42,2110.4961,2120.9131,2119.7809,2122.6592,2143.027,2157.6147,2154.7777,2157.2166
Q43,5439.1097,5507.6127,5468.0206,5444.7376,5520.8989,5589.6538,5549.2744,5525.7065
Q44,1294.0033,1301.0605,1288.7683,1290.7846,1312.658,1321.1225,1310.0478,1312.6527
Q45,1928.0267,1937.5221,1938.422,1943.3028,1956.978,1969.8989,1972.1364,1977.5314
Q46,3375.0311,3395.8884,3412.2445,3405.6555,3417.3752,3438.3192,3454.7215,3447.9899
Q47,9752.853,9819.9213,9806.3171,9885.6626,9908.9676,9976.3449,9962.1616,10041.9488
Q48,1413.5947,1419.5845,1409.2642,1433.108,1429.3941,1438.6076,1438.6581,1463.4897
Q49,8952.5541,9039.1821,9036.7359,9023.1911,9110.9516,9198.1539,9195.1915,9181.0162
Q50,9307.6804,9426.4806,9387.0253,9383.4945,9464.1338,9583.8815,9550.0987,9546.0503
Q51,1476.8351,1492.2462,1488.0211,1485.4675,1506.7926,1520.2923,1516.968,1517.9484
Q52,5830.855,5873.4544,5873.5189,5889.7884,5901.4831,5944.2932,5944.2058,5960.462
Q53,2687.8721,2663.3088,2681.9953,2678.8721,2702.1248,2718.0252,2727.3641,2724.082
Q54,1657.9824,1664.8426,1667.1245,1677.6058,1681.6525,1688.5205,1690.7673,1701.2916
Q55,6866.4397,6956.5025,6940.243,6962.2308,6947.463,7038.0753,7021.5303,7043.5296
Q56,3036.4413,3052.9315,3066.5216,3068.4894,3088.8052,3105.3351,3118.9318,3120.7653
Q57,1469.4439,1479.7081,1475.0389,1481.1833,1488.8109,1502.4649,1500.724,1504.9104
Q58,7426.6483,7445.5303,7467.2461,7504.6754,7519.936,7538.7744,7560.4746,7598.0247
Q59,9739.7545,9685.113,9757.6555,9772.4649,9795.4769,9851.7642,9884.4604,9971.61
Q60,1410.4113,1423.2203,1424.7302,1436.2183,1435.3071,1440.9123,1449.5002,1460.4797
