D1,2034.38675,2029.1575,2036.156,2035.7775000000001,2036.93425,2037.3225,2037.0442500000001,2039.2540000000001,2033.929,2039.96325,2038.02575,2038.1795,2038.6715,2038.974
D2,2964.2165,2956.13325,2970.223,2979.3455,2983.15125,2989.8675,2979.257,2975.98075,2968.0315,2979.183,2982.3852500000003,2981.8615,2987.93875,2982.1565
D3,1122.7065,1120.7735,1118.2565,1118.463,1117.85425,1116.8464999999999,1128.81325,1129.5985,1124.3235,1120.2527499999999,1118.42525,1116.3455,1115.80675,1131.49725
D4,1209.74175,1212.717,1206.586,1193.6812499999999,1188.3052500000001,1181.991,1234.8985,1231.079,1218.494,1204.97225,1190.9925,1183.10375,1176.81275,1250.496
D5,5871.49125,5875.75425,5877.8994999999995,5903.979,5903.16875,5899.9555,5894.5565,5888.70075,5892.53575,5898.1495,5917.22225,5911.28425,5904.91775,5897.98025
D6,3029.993,3073.9865,3046.8125,3069.51075,3081.487,3121.8914999999997,3117.30825,3048.5724999999998,3080.68225,3053.04075,3068.99025,3083.01825,3120.536,3119.8447499999997
D7,6414.12325,6336.2505,5231.04125,5315.39375,4926.15025,5708.69975,5295.86275,6221.8372500000005,6212.93725,5325.43275,5445.303,5041.7742499999995,5632.30625,5310.21325
D8,1732.1712499999999,1727.96775,1739.552,1738.37925,1736.254,1735.66775,1738.81925,1739.114,1734.172,1743.71075,1740.22125,1736.79025,1736.95725,1741.1325
D9,1584.90175,1581.0985,1591.94075,1590.88975,1589.285,1588.4002500000001,1590.78125,1590.90025,1586.7445,1595.87625,1592.99675,1590.08825,1589.599,1592.8245
D10,2628.2035,2634.787,2632.31075,2638.75475,2643.22725,2640.347,2629.4755,2640.30525,2644.67175,2638.62025,2640.4255,2643.87275,2642.34525,2633.56375
D11,2436.63425,2436.6375,2434.02825,2439.93125,2419.63325,2434.35975,2450.5895,2443.22775,2442.20225,2440.35725,2442.5525,2422.3002500000002,2436.702,2451.41725
D12,3675.32,3665.79,3692.39125,3687.24225,3675.51075,3697.47025,3680.8525,3686.5265,3678.2215,3701.4945,3692.09375,3678.62125,3697.71025,3684.19925
D13,7207.51975,7218.37825,7237.2395,7331.1245,7307.96375,7247.701,7269.6635,7242.27825,7254.29475,7268.17425,7337.86625,7303.37025,7249.84325,7276.171
D14,5661.072,5670.9195,5654.9165,5672.98275,5695.643,5720.216,5698.96975,5688.24425,5688.836499999999,5669.2425,5679.24825,5698.7522500000005,5720.07825,5703.67975
D15,8369.6425,8750.4,8364.089249999999,7848.446,7966.55225,8093.9217499999995,8019.9495,8319.473,8653.22725,8363.52025,7905.16175,8028.1085,8105.001499999999,8008.1015
