Y1,0.0,0.0,0.0,0.0,0.0,0.0
Y2,0.0,0.0,0.0,0.0,0.0,0.0
Y3,0.0,0.0,0.0,0.0,0.0,0.0
Y4,0.0,0.0,0.0,0.0,0.0,0.0
Y5,0.0,0.0,0.0,0.0,0.0,0.0
Y6,0.0,0.0,0.0,0.0,0.0,0.0
Y7,0.0,0.0,0.0,0.0,0.0,0.0
Y8,0.0,0.0,0.0,0.0,0.0,0.0
Y9,0.0,0.0,0.0,0.0,0.0,0.0
Y10,0.0,0.0,0.0,0.0,0.0,0.0
Y11,0.0,0.0,0.0,0.0,0.0,0.0
Y12,0.0,0.0,0.0,0.0,0.0,0.0
Y13,0.0,0.0,0.0,0.0,0.0,0.0
Y14,0.0,0.0,0.0,0.0,0.0,0.0
Y15,0.0,0.0,0.0,0.0,0.0,0.0
Y16,0.0,0.0,0.0,0.0,0.0,0.0
Y17,0.0,0.0,0.0,0.0,0.0,0.0
Y18,0.0,0.0,0.0,0.0,0.0,0.0
Y19,0.0,0.0,0.0,0.0,0.0,0.0
Y20,0.0,0.0,0.0,0.0,0.0,0.0
Y21,0.0,0.0,0.0,0.0,0.0,0.0
Y22,0.0,0.0,0.0,0.0,0.0,0.0
Y23,0.0,0.0,0.0,0.0,0.0,0.0
Y24,0.0,0.0,0.0,0.0,0.0,0.0
Y25,0.0,0.0,0.0,0.0,0.0,0.0
Y26,0.0,0.0,0.0,0.0,0.0,0.0
Y27,0.0,0.0,0.0,0.0,0.0,0.0
Y28,0.0,0.0,0.0,0.0,0.0,0.0
Y29,0.0,0.0,0.0,0.0,0.0,0.0
Y30,0.0,0.0,0.0,0.0,0.0,0.0
Y31,0.0,0.0,0.0,0.0,0.0,0.0
Y32,0.0,0.0,0.0,0.0,0.0,0.0
Y33,0.0,0.0,0.0,0.0,0.0,0.0
Y34,0.0,0.0,0.0,0.0,0.0,0.0
Y35,0.0,0.0,0.0,0.0,0.0,0.0
Y36,0.0,0.0,0.0,0.0,0.0,0.0
Y37,0.0,0.0,0.0,0.0,0.0,0.0
Y38,0.0,0.0,0.0,0.0,0.0,0.0
Y39,0.0,0.0,0.0,0.0,0.0,0.0
Y40,0.0,0.0,0.0,0.0,0.0,0.0
Y41,0.0,0.0,0.0,0.0,0.0,0.0
Y42,0.0,0.0,0.0,0.0,0.0,0.0
