id,value
Y1,0.0006433333333333334
Y2,0.003271666666666666
Y3,0.0013216666666666665
Y4,0.001475
Y5,0.001155
Y6,0.0041466666666666666
Y7,0.0018266666666666668
Y8,0.0009983333333333333
Y9,0.0005183333333333333
Y10,0.0010966666666666668
Y11,0.0015949999999999998
Y12,0.000955
Y13,0.0008583333333333332
Y14,0.0008883333333333334
Y15,0.00025666666666666665
Y16,0.00038166666666666666
Y17,0.0003716666666666667
Y18,0.00022666666666666668
Y19,0.0020383333333333334
Y20,0.0016783333333333331
Y21,0.0020066666666666666
Y22,0.0025599999999999998
Y23,0.0070149999999999995
Y24,0.0028183333333333337
Y25,0.0035949999999999997
Y26,0.00992
Y27,0.004115
Y28,0.0024950000000000003
Y29,0.003578333333333333
Y30,0.0025783333333333335
Y31,0.001085
Y32,0.0014833333333333332
Y33,0.0010566666666666667
Y34,0.0005366666666666666
Y35,0.0013966666666666665
Y36,0.0005133333333333333
Y37,0.0019850000000000002
Y38,0.00964
Y39,0.00139
Y40,0.0017883333333333334
Y41,0.001725
Y42,0.0010116666666666668
Y43,0.0010666666666666665
Y44,0.0003316666666666667
Y45,0.00031666666666666665
Y46,0.0012566666666666666
Y47,0.0022949999999999997
Y48,0.0008066666666666668
Y49,0.0012566666666666666
Y50,0.0011116666666666666
Y51,0.0016066666666666668
Y52,0.0009183333333333335
Y53,0.010985
Y54,0.0009183333333333334
Y55,0.0008616666666666667
Y56,0.000955
Y57,0.0007733333333333334
Y58,0.00117
Y59,0.00046833333333333335
Y60,0.0010333333333333334
Y61,0.0010833333333333333
Y62,0.004083333333333334
Y63,0.000435
Y64,0.0025816666666666666
Y65,0.0009183333333333335
Y66,0.0008749999999999999
Y67,0.0023599999999999997
Y68,0.002278333333333333
Y69,0.0006733333333333334
Y70,0.0007400000000000001
Y71,0.0046
Y72,0.0017333333333333335
Y73,0.000705
Y74,0.0021883333333333334
Y75,0.0011983333333333334
Y76,0.0010066666666666668
Y77,0.00111
Y78,0.0023483333333333333
Y79,0.009908333333333333
Y80,0.002466666666666667
Y81,0.0007916666666666666
Y82,0.008945
Y83,0.0021366666666666665
Y84,0.0006916666666666667
Y85,0.0014166666666666666
Y86,0.00284
Y87,0.0011833333333333333
Y88,0.001465
Y89,0.0035516666666666665
Y90,0.003068333333333334
Y91,0.0023799999999999997
Y92,0.0017816666666666666
Y93,0.0007833333333333334
Y94,0.0013216666666666665
Y95,0.000695
Y96,0.0009333333333333334
Y97,0.0009116666666666666
Y98,0.0006783333333333333
Y99,0.0010783333333333333
Y100,0.000905
Y101,0.001185
Y102,0.00041833333333333333
Y103,0.0026316666666666663
Y104,0.0016116666666666666
Y105,0.0006533333333333333
Y106,0.00040666666666666667
Y107,0.00151
Y108,0.0035733333333333333
Y109,0.0008283333333333334
Y110,0.0012516666666666666
Y111,0.002001666666666667
Y112,0.0023666666666666667
Y113,0.0007683333333333332
Y114,0.00036833333333333336
Y115,0.0007933333333333334
Y116,0.0007566666666666667
Y117,0.0008500000000000001
Y118,0.0032883333333333336
Y119,0.001535
Y120,0.002803333333333333
Y121,0.002256666666666667
Y122,0.0010616666666666667
Y123,0.0028183333333333337
Y124,0.0030383333333333334
Y125,0.0006716666666666667
Y126,0.0003333333333333333
Y127,0.0003533333333333333
Y128,0.0014116666666666668
Y129,0.0017816666666666666
Y130,0.0008383333333333333
Y131,0.0015216666666666666
Y132,0.0002883333333333333
Y133,0.0047933333333333335
Y134,0.0009633333333333333
Y135,0.0022383333333333335
Y136,0.000575
Y137,0.0015166666666666668
Y138,0.0007400000000000001
Y139,0.0016866666666666668
Y140,0.0004
Y141,0.00233
Y142,0.0008150000000000001
Y143,0.0017133333333333332
Y144,0.0006816666666666667
Y145,0.0013033333333333334
Y146,0.0024516666666666662
Y147,0.001645
Y148,0.0008316666666666666
Y149,0.00121
Y150,0.0023250000000000002
Y151,0.0029183333333333335
Y152,0.0031416666666666663
Y153,0.00072
Y154,0.0021899999999999997
Y155,0.000295
Y156,0.001093333333333333
Y157,0.0006116666666666667
Y158,0.0007016666666666667
Y159,0.0023333333333333335
Y160,0.0023199999999999996
Y161,0.0006333333333333333
Y162,0.0006366666666666666
Y163,0.0017000000000000001
Y164,0.0005783333333333334
Y165,0.0015333333333333334
Y166,0.000875
Y167,0.0007166666666666667
Y168,0.00272
Y169,0.004713333333333333
Y170,0.0005733333333333332
Y171,0.00035000000000000005
Y172,0.0013499999999999999
Y173,0.00102
Y174,0.0014416666666666666
Y175,0.0014366666666666666
Y176,0.0015783333333333333
Y177,0.0011183333333333334
Y178,0.0033033333333333335
Y179,0.0007933333333333334
Y180,0.0007416666666666666
Y181,0.0011816666666666668
Y182,0.000765
Y183,0.00042
Y184,0.0008766666666666667
Y185,0.0010366666666666666
Y186,0.0011566666666666667
Y187,0.0006883333333333333
Y188,0.0011516666666666667
Y189,0.000925
Y190,0.001923333333333333
Y191,0.0008916666666666666
Y192,0.0008549999999999999
Y193,0.003183333333333333
Y194,0.002055
Y195,0.0021966666666666666
Y196,0.0012366666666666665
Y197,0.0017866666666666667
Y198,0.0016133333333333336
Y199,0.004123333333333334
Y200,0.00095
Y201,0.0018849999999999997
Y202,0.0026266666666666665
Y203,0.0019050000000000004
Y204,0.004488333333333333
Y205,0.0016550000000000002
Y206,0.0027316666666666665
Y207,0.0010966666666666668
Y208,0.003276666666666666
Y209,0.002375
Y210,0.001956666666666667
Y211,0.002445
Y212,0.0006116666666666667
Y213,0.006238333333333333
Y214,0.0009200000000000001
Y215,0.0016383333333333334
Y216,0.00123
Y217,0.0010583333333333332
Y218,0.0026933333333333336
Y219,0.0015400000000000004
Y220,0.0005600000000000001
Y221,0.0013683333333333334
Y222,0.0007499999999999999
Y223,0.003655
Y224,0.00204
Y225,0.0023366666666666666
Y226,0.005765
Y227,0.0010733333333333333
Y228,0.0005166666666666667
Y229,0.0006233333333333333
Y230,0.0013499999999999999
Y231,0.006134999999999999
Y232,0.00324
Y233,0.0013249999999999998
Y234,0.0016233333333333332
Y235,0.0014383333333333331
Y236,0.0013133333333333337
Y237,0.00105
Y238,0.001345
Y239,0.0014066666666666665
Y240,0.0014783333333333335
Y241,0.0012533333333333333
Y242,0.00035833333333333333
Y243,0.0003333333333333333
Y244,0.0013683333333333334
Y245,0.002181666666666667
Y246,0.0028283333333333337
Y247,0.0010083333333333333
Y248,0.0016150000000000001
Y249,0.004079999999999999
Y250,0.00116
Y251,0.0007433333333333334
Y252,0.0013499999999999999
Y253,0.00044333333333333334
Y254,0.0004033333333333334
Y255,0.0006000000000000001
Y256,0.0011666666666666665
Y257,0.000915
Y258,0.0006866666666666667
Y259,0.0010183333333333333
Y260,0.0006716666666666668
Y261,0.0005016666666666668
Y262,0.00035833333333333333
Y263,0.000985
Y264,0.0005916666666666667
Y265,0.0005016666666666666
Y266,0.0016283333333333334
Y267,0.0011033333333333333
Y268,0.0015583333333333334
Y269,0.0007866666666666667
Y270,0.00030833333333333337
Y271,0.0009099999999999999
Y272,0.00022833333333333332
Y273,0.0016683333333333333
Y274,0.002391666666666667
Y275,0.0015300000000000001
Y276,0.0011466666666666667
Y277,0.004621666666666667
Y278,0.00157
Y279,0.005391666666666667
Y280,0.00127
Y281,0.007373333333333333
Y282,0.00105
Y283,0.00143
Y284,0.0009366666666666667
Y285,0.0009450000000000001
Y286,0.00123
Y287,0.0023733333333333336
Y288,0.0012366666666666665
Y289,0.0019533333333333334
Y290,0.0010566666666666667
Y291,0.0005149999999999999
Y292,0.0004733333333333334
Y293,0.002118333333333333
Y294,0.00041999999999999996
Y295,0.0003316666666666667
Y296,0.0017183333333333332
Y297,0.00079
Y298,0.000525
Y299,0.001685
Y300,0.000345
Y301,0.0005983333333333333
Y302,0.0010966666666666666
Y303,0.0013316666666666668
Y304,0.0007633333333333334
Y305,0.00087
Y306,0.00069
Y307,0.00104
Y308,0.001726666666666667
Y309,0.0028966666666666667
Y310,0.0023650000000000003
Y311,0.0010416666666666667
Y312,0.0029616666666666667
Y313,0.0019466666666666666
Y314,0.0008350000000000001
Y315,0.0008866666666666666
Y316,0.00161
Y317,0.005205
Y318,0.0013183333333333335
Y319,0.0010183333333333335
Y320,0.0011916666666666666
Y321,0.00114
Y322,0.0014133333333333333
Y323,0.00082
Y324,0.0011533333333333333
Y325,0.00149
Y326,0.0015766666666666665
Y327,0.0032216666666666665
Y328,0.0015666666666666665
Y329,0.0020450000000000004
Y330,0.000405
Y331,0.0014066666666666665
Y332,0.0008866666666666667
Y333,0.0013983333333333332
Y334,0.0023383333333333333
Y335,0.00053
Y336,0.0008283333333333333
Y337,0.0019249999999999996
Y338,0.00057
Y339,0.0008933333333333335
Y340,0.004151666666666667
Y341,0.0008716666666666667
Y342,0.0006933333333333332
Y343,0.0012466666666666665
